state,x,y
Amazonas,-183,186
Acre,-273,81
Roraima,-126,296
Pará,24,167
Amapá,38,277
Rondônia,-160,68
Mato Grosso,-37,28
Goiás,53,-48
Maranhão,153,162
Ceará,253,149
Rio Grande Do Norte,310,134
Paraíba,307,104
Pernambuco,278,85
Alagoas,301,59
Sergipe,286,41
Bahia,199,26
Piauí,187,102
Tocantins,103,64
Distrito Federal,99,-30
Mato Grosso Do Sul,-22,-106
Minas Gerais,153,-85
Espírito Santo,218,-115
Rio De Janeiro,175,-157
São Paulo,74,-144
Paraná,27,-186
Santa Catarina,42,-230
Rio Grande Do Sul,-13,-274
